source,destination,duration
"[""87b916972ffffff"", ""87b91690dffffff"", ""driving""]",588.1
"[""87b916972ffffff"", ""87b916909ffffff"", ""driving""]",453.7
"[""87b916972ffffff"", ""87b916954ffffff"", ""driving""]",341.8
"[""87b916972ffffff"", ""87b916973ffffff"", ""driving""]",607.9
"[""87b916972ffffff"", ""87b916970ffffff"", ""driving""]",373.7
"[""87b916972ffffff"", ""87b916976ffffff"", ""driving""]",287.1
"[""87b916972ffffff"", ""87b91692bffffff"", ""driving""]",397.3
"[""87b916972ffffff"", ""87b91690cffffff"", ""driving""]",878
"[""87b916972ffffff"", ""87b916908ffffff"", ""driving""]",1485.1
"[""87b916972ffffff"", ""87b91690bffffff"", ""driving""]",1009.3
"[""87b916972ffffff"", ""87b916956ffffff"", ""driving""]",497.2
"[""87b916972ffffff"", ""87b916950ffffff"", ""driving""]",850.2
"[""87b916972ffffff"", ""87b916955ffffff"", ""driving""]",572
"[""87b916972ffffff"", ""87b916946ffffff"", ""driving""]",835.1
"[""87b916972ffffff"", ""87b916971ffffff"", ""driving""]",582.6
"[""87b916972ffffff"", ""87b916975ffffff"", ""driving""]",716.7
"[""87b916972ffffff"", ""87b916974ffffff"", ""driving""]",509.9
"[""87b916972ffffff"", ""87b916929ffffff"", ""driving""]",776
"[""87b916972ffffff"", ""87b916928ffffff"", ""driving""]",1229.1
"[""87b916972ffffff"", ""87b91692affffff"", ""driving""]",610.6
"[""87b916972ffffff"", ""87b916901ffffff"", ""driving""]",1126
"[""87b916972ffffff"", ""87b91690effffff"", ""driving""]",908.4
"[""87b916972ffffff"", ""87b91690affffff"", ""driving""]",1265.8
"[""87b916972ffffff"", ""87b916824ffffff"", ""driving""]",1144.9
"[""87b916972ffffff"", ""87b916825ffffff"", ""driving""]",766.4
"[""87b916972ffffff"", ""87b916952ffffff"", ""driving""]",759
"[""87b916972ffffff"", ""87b916953ffffff"", ""driving""]",900.3
"[""87b916972ffffff"", ""87b916951ffffff"", ""driving""]",752.4
"[""87b916972ffffff"", ""87b916942ffffff"", ""driving""]",684.8
"[""87b916972ffffff"", ""87b916940ffffff"", ""driving""]",877.1
"[""87b916972ffffff"", ""87b916944ffffff"", ""driving""]",1123.5
"[""87b916972ffffff"", ""87b916962ffffff"", ""driving""]",2974.3
"[""87b916972ffffff"", ""87b916966ffffff"", ""driving""]",897.9
"[""87b916972ffffff"", ""87be492dbffffff"", ""driving""]",700.5
"[""87b916972ffffff"", ""87be492daffffff"", ""driving""]",1476.1
"[""87b916972ffffff"", ""87b91692dffffff"", ""driving""]",1550.1
"[""87b916873ffffff"", ""87b916872ffffff"", ""driving""]",368.2
"[""87b916873ffffff"", ""87b916854ffffff"", ""driving""]",435
"[""87b916873ffffff"", ""87b916855ffffff"", ""driving""]",322.9
"[""87b916873ffffff"", ""87b916846ffffff"", ""driving""]",0
"[""87b916873ffffff"", ""87b916871ffffff"", ""driving""]",249.3
"[""87b916873ffffff"", ""87b916870ffffff"", ""driving""]",333.3
"[""87b916873ffffff"", ""87b916876ffffff"", ""driving""]",535.9
"[""87b916873ffffff"", ""87b91680dffffff"", ""driving""]",622.4
"[""87b916873ffffff"", ""87b916809ffffff"", ""driving""]",502.8
"[""87b916873ffffff"", ""87b916856ffffff"", ""driving""]",643.3
"[""87b916873ffffff"", ""87b916850ffffff"", ""driving""]",498.4
