Address,Url,PriceLower,PriceUpper,PropertyType,NumBathrooms,NumBedrooms,NumCarSpaces,CityCode,Lat,Lng,H3Index
"81/223 North Terrace, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147424576,585000,585000,Apartment,1,2,1,Adelaide,-34.83709236841708,138.55386690788455,87b9168e4ffffff
"2002/29 Angas Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147423156,499000,539000,Apartment,1,1,1,Adelaide,-34.92960527813925,138.6102581513616,87b91682effffff
"3206/17 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146125496,1100000,1100000,Apartment,2,3,1,Adelaide,-34.921997250000004,138.6048101123671,87b91682effffff
"711/160 Rundle Mall, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147415260,135000,145000,Apartment,1,1,0,Adelaide,-34.922835101014854,138.6025992797875,87b91682effffff
"7/376 South Terrace, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-147398416,999000,1089000,Townhouse,1,2,2,Adelaide,-34.97223563333057,138.54772088487408,87b91695effffff
"10/326 Gilles Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-140238631,489000,537900,Apartment,1,2,1,Adelaide,-34.93398717219582,138.6064178510701,87b91682effffff
"503/23 King William Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146776480,309100,340000,Apartment,1,3,0,Adelaide,-34.92245830209435,138.59939842220888,87b91682effffff
"7 Southcott Walk, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-147401164,1290000,1390000,Townhouse,2,2,2,Adelaide,-34.93329187914973,138.61038318939907,87b91682effffff
"3106/17 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146766856,1250000,1250000,Apartment,2,3,1,Adelaide,-34.88121536824469,138.57041321127667,87b91680effffff
"211/175-185 Waymouth Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147262012,389000,409000,Apartment,1,1,0,Adelaide,-34.92638075,138.58763085,87b91682affffff
"105/62 Hurtle Square, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147001240,525000,525000,Apartment,1,1,0,Adelaide,-34.93182854684359,138.6070252397105,87b91682effffff
"306/304 Waymouth Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146985788,155000,165000,Apartment,1,1,0,Adelaide,-34.9261228816573,138.59303424945108,87b91682effffff
"1802/29 Angas Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147250396,500000,530000,Apartment,1,1,1,Adelaide,-34.85868465,138.5160373,87b916856ffffff
"206/14 Gilbert Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147237852,460000,475000,Apartment,1,1,0,Adelaide,-34.93429185481178,138.60037249793103,87b91682effffff
"6/20 Norman Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147383672,545000,565000,Apartment,1,2,0,Adelaide,-35.00837924297763,138.58140765913782,87b916955ffffff
"114 East Terrace, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-143886020,4250000,4500000,House,2,4,4,Adelaide,-34.912106436398076,138.49666915785144,87b916870ffffff
"1213/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147379784,485000,515000,Apartment,1,1,1,Adelaide,-34.861439354285785,138.65259454723204,87b916815ffffff
"207/211 Grenfell Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147084144,495000,515000,House,1,1,1,Adelaide,-34.92394165964885,138.6078117976964,87b91682effffff
"71 South Terrace, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-147228292,1250000,1350000,House,2,3,2,Adelaide,-34.97223563333057,138.54772088487408,87b91695effffff
