"SourceIndex","DestinationIndex","CityCode","DurationCycle","DurationDrive","DurationTransit","DurationWalk"
"87b916833ffffff","87b916800ffffff","Adelaide","1190","623","4228","4904"
"87b916833ffffff","87b916801ffffff","Adelaide","2013","1024","3200","7314"
"87b916833ffffff","87b916802ffffff","Adelaide","1495","695","4585","4681"
"87b916833ffffff","87b916803ffffff","Adelaide","2067","969","3915","7436"
"87b916833ffffff","87b916804ffffff","Adelaide","1064","558","2203","4694"
"87b916833ffffff","87b916805ffffff","Adelaide","1771","842","2013","6396"
"87b916833ffffff","87b916806ffffff","Adelaide","722","331","2518","2519"
"87b916833ffffff","87b916808ffffff","Adelaide","3271","1448","4881","11499"
"87b916833ffffff","87b916809ffffff","Adelaide","4326","1855","4276","14122"
"87b916833ffffff","87b91680affffff","Adelaide","3233","1387","3804","12195"
"87b916833ffffff","87b91680bffffff","Adelaide","3924","1620","6353","14014"
"87b916833ffffff","87b91680cffffff","Adelaide","3017","1511","3817","9755"
"87b916833ffffff","87b91680dffffff","Adelaide","3519","1665","4078","12588"
"87b916833ffffff","87b91680effffff","Adelaide","2684","1242","5163","9373"
"87b916833ffffff","87b916811ffffff","Adelaide","1329","657","4006","4876"
"87b916833ffffff","87b916815ffffff","Adelaide","758","308","2786","2787"
"87b916833ffffff","87b91681cffffff","Adelaide","2121","951","4474","7270"
"87b916833ffffff","87b91681dffffff","Adelaide","2810","1138","6313","9904"
"87b916833ffffff","87b916820ffffff","Adelaide","2314","986","5004","8511"
"87b916833ffffff","87b916821ffffff","Adelaide","2378","1220","3395","9784"
"87b916833ffffff","87b916822ffffff","Adelaide","1449","644","2331","5545"
"87b916833ffffff","87b916823ffffff","Adelaide","1738","915","2789","7203"
"87b916833ffffff","87b916824ffffff","Adelaide","3545","1345","4024","11779"
"87b916833ffffff","87b916825ffffff","Adelaide","2942","1265","4275","11240"
"87b916833ffffff","87b916826ffffff","Adelaide","2632","787","6825","7903"
"87b916833ffffff","87b916828ffffff","Adelaide","2948","1695","3491","10449"
"87b916833ffffff","87b916829ffffff","Adelaide","3552","1877","3638","12756"
"87b916833ffffff","87b91682affffff","Adelaide","2418","1259","4237","9127"
"87b916833ffffff","87b91682bffffff","Adelaide","2944","1557","3345","11158"
"87b916833ffffff","87b91682cffffff","Adelaide","2985","1474","2495","10980"
"87b916833ffffff","87b91682dffffff","Adelaide","3605","1644","3304","12793"
"87b916833ffffff","87b91682effffff","Adelaide","2330","1177","2239","8592"
"87b916833ffffff","87b916831ffffff","Adelaide","725","358","2927","2927"
"87b916833ffffff","87b916835ffffff","Adelaide","1627","595","2659","5112"
"87b916833ffffff","87b916856ffffff","Adelaide","4781","1833","6376","15517"
"87b916833ffffff","87b916872ffffff","Adelaide","4050","1901","4137","14863"
"87b916833ffffff","87b916874ffffff","Adelaide","4325","1987","4279","14932"
"87b916833ffffff","87b916876ffffff","Adelaide","3658","1879","3711","13565"
"87b916833ffffff","87b916919ffffff","Adelaide","4676","1597","10102","14133"
"87b916833ffffff","87b916952ffffff","Adelaide","3062","1502","3368","12392"
"87b916833ffffff","87b916953ffffff","Adelaide","3426","1779","3599","13592"
"87b916833ffffff","87b916958ffffff","Adelaide","4507","2035","3603","16521"
"87b916833ffffff","87b91695affffff","Adelaide","4117","1909","4289","14741"
"87b916833ffffff","87b91695bffffff","Adelaide","5013","2340","5433","17555"
"87b916833ffffff","87b91695effffff","Adelaide","4178","1886","4242","15006"
"87b916872ffffff","87b916802ffffff","Adelaide","2985","1446","4695","11402"
"87b916872ffffff","87b916803ffffff","Adelaide","2506","1262","5182","9327"
"87b916872ffffff","87b916804ffffff","Adelaide","3222","1551","3923","11635"
"87b916872ffffff","87b916806ffffff","Adelaide","3502","1669","3933","12872"
"87b916872ffffff","87b916808ffffff","Adelaide","1398","792","4134","4908"
"87b916872ffffff","87b916809ffffff","Adelaide","690","292","2330","2331"
"87b916872ffffff","87b91680affffff","Adelaide","1996","928","4684","7145"
"87b916872ffffff","87b91680bffffff","Adelaide","1542","694","4508","5097"
"87b916872ffffff","87b91680effffff","Adelaide","2154","1100","5029","7674"
"87b916872ffffff","87b916811ffffff","Adelaide","4311","1545","5335","13963"
"87b916872ffffff","87b916815ffffff","Adelaide","3913","1761","6851","14168"
"87b916872ffffff","87b91681cffffff","Adelaide","3053","1440","4584","11689"
"87b916872ffffff","87b91681dffffff","Adelaide","2678","1186","4580","9999"
"87b916872ffffff","87b916820ffffff","Adelaide","3247","1853","4653","13310"
"87b916872ffffff","87b916821ffffff","Adelaide","2887","1580","4562","11896"
"87b916872ffffff","87b916822ffffff","Adelaide","3286","1701","3229","12891"
"87b916872ffffff","87b916823ffffff","Adelaide","2847","1465","2919","10918"
"87b916872ffffff","87b916824ffffff","Adelaide","3589","1925","4177","15262"
"87b916872ffffff","87b916825ffffff","Adelaide","3430","1832","5637","14355"
"87b916872ffffff","87b916826ffffff","Adelaide","3827","1996","5067","15801"
"87b916872ffffff","87b916828ffffff","Adelaide","1880","1161","6407","7776"
"87b916872ffffff","87b91682cffffff","Adelaide","2459","1347","4310","10446"
"87b916872ffffff","87b91682dffffff","Adelaide","2054","1027","4988","8565"
"87b916872ffffff","87b91682effffff","Adelaide","2276","1239","3038","9295"
"87b916872ffffff","87b916831ffffff","Adelaide","3619","1818","3968","14003"
"87b916872ffffff","87b916833ffffff","Adelaide","4050","1901","4137","14863"
"87b916872ffffff","87b916835ffffff","Adelaide","3615","1925","5165","14799"
"87b916872ffffff","87b916856ffffff","Adelaide","1073","514","1694","3984"
"87b916872ffffff","87b916919ffffff","Adelaide","5120","2683","11509","20348"
"87b916872ffffff","87b916952ffffff","Adelaide","2946","1552","3906","12671"
"87b916872ffffff","87b916953ffffff","Adelaide","2712","1297","6002","11428"
"87b916872ffffff","87b91695effffff","Adelaide","2506","1143","5264","9908"
"87b91681dffffff","87b916800ffffff","Adelaide","1585","744","4142","5640"
"87b91681dffffff","87b916801ffffff","Adelaide","1109","576","1228","4302"
"87b91681dffffff","87b916802ffffff","Adelaide","1519","653","3887","4873"
"87b91681dffffff","87b916803ffffff","Adelaide","1000","392","3062","3062"
"87b91681dffffff","87b916804ffffff","Adelaide","2136","950","4630","7952"
"87b91681dffffff","87b916805ffffff","Adelaide","1832","884","3131","6756"
"87b91681dffffff","87b916806ffffff","Adelaide","2102","996","6187","7495"
"87b91681dffffff","87b916808ffffff","Adelaide","1450","705","3180","5457"
"87b91681dffffff","87b916809ffffff","Adelaide","2253","942","4053","7680"
"87b91681dffffff","87b91680affffff","Adelaide","1412","480","2866","2866"
"87b91681dffffff","87b91680bffffff","Adelaide","1655","657","4470","5181"
"87b91681dffffff","87b91680cffffff","Adelaide","1522","809","3731","5824"
